ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2017-0070,30/5/2017,2017,5,30,PEATON,PEATON,MASCULINO,80,31/5/2017
2017-0072,3/6/2017,2017,6,3,CONDUCTOR,AUTO,MASCULINO,25,3/6/2017
2017-0073,4/6/2017,2017,6,4,CONDUCTOR,MOTO,MASCULINO,19,4/6/2017
2017-0074,4/6/2017,2017,6,4,SD,SD,MASCULINO,70,4/6/2017
2017-0075,12/6/2017,2017,6,12,PEATON,PEATON,MASCULINO,55,12/6/2017
2017-0076,13/6/2017,2017,6,13,PEATON,PEATON,FEMENINO,30,13/6/2017
2017-0077,17/6/2017,2017,6,17,CONDUCTOR,MOTO,FEMENINO,60,18/6/2017
2017-0079,19/6/2017,2017,6,19,CONDUCTOR,MOTO,MASCULINO,33,19/6/2017
2017-0080,22/6/2017,2017,6,22,PEATON,PEATON,FEMENINO,95,22/6/2017
2017-0082,25/6/2017,2017,6,25,PEATON,PEATON,MASCULINO,36,25/6/2017
2017-0083,4/7/2017,2017,7,4,CONDUCTOR,MOTO,MASCULINO,37,4/7/2017
2017-0084,5/7/2017,2017,7,5,PEATON,PEATON,FEMENINO,73,5/7/2017
2017-0085,7/7/2017,2017,7,7,PEATON,PEATON,MASCULINO,84,7/7/2017
2017-0086,9/7/2017,2017,7,9,PEATON,PEATON,FEMENINO,30,9/7/2017
2017-0087,10/7/2017,2017,7,10,PEATON,PEATON,FEMENINO,73,10/7/2017
2017-0088,10/7/2017,2017,7,10,PEATON,PEATON,MASCULINO,43,10/7/2017
2017-0089,13/7/2017,2017,7,13,SD,SD,MASCULINO,23,SD
2017-0090,15/7/2017,2017,7,15,PEATON,PEATON,MASCULINO,22,15/7/2017
2017-0091,15/7/2017,2017,7,15,CONDUCTOR,MOTO,MASCULINO,58,15/7/2017
2017-0092,24/7/2017,2017,7,24,PEATON,PEATON,MASCULINO,66,24/7/2017
2017-0093,25/7/2017,2017,7,25,PEATON,PEATON,MASCULINO,SD,25/7/2017
2017-0094,27/7/2017,2017,7,27,CICLISTA,BICICLETA,FEMENINO,56,27/7/2017
2017-0095,6/8/2017,2017,8,6,CONDUCTOR,MOTO,MASCULINO,36,6/8/2017
2017-0096,7/8/2017,2017,8,7,PEATON,PEATON,MASCULINO,87,7/8/2017
2017-0098,8/8/2017,2017,8,8,PEATON,PEATON,FEMENINO,61,8/8/2017
2017-0099,17/8/2017,2017,8,17,CICLISTA,BICICLETA,MASCULINO,28,17/8/2017
2017-0100,21/8/2017,2017,8,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16,21/8/2017
2017-0101,23/8/2017,2017,8,23,PEATON,PEATON,FEMENINO,61,23/8/2017
2017-0102,24/8/2017,2017,8,24,PEATON,PEATON,MASCULINO,46,24/8/2017
2017-0104,25/8/2017,2017,8,25,PEATON,PEATON,FEMENINO,18,25/8/2017
2017-0106,31/8/2017,2017,8,31,PEATON,PEATON,FEMENINO,85,31/8/2017
2017-0107,1/9/2017,2017,9,1,CONDUCTOR,MOTO,MASCULINO,41,1/9/2017
2017-0108,2/9/2017,2017,9,2,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,17,2/9/2017
2017-0108,2/9/2017,2017,9,2,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,10,2/9/2017
2017-0109,4/9/2017,2017,9,4,CONDUCTOR,MOTO,MASCULINO,21,5/9/2017
2017-0110,6/9/2017,2017,9,6,PEATON,PEATON,MASCULINO,56,7/9/2017
2017-0111,7/9/2017,2017,9,7,PEATON,PEATON,FEMENINO,79,7/9/2017
2017-0112,10/9/2017,2017,9,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1,SD
2017-0112,10/9/2017,2017,9,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,SD,13/9/2017
2017-0113,11/9/2017,2017,9,11,PEATON,PEATON,FEMENINO,76,11/9/2017
2017-0114,15/9/2017,2017,9,15,CONDUCTOR,AUTO,MASCULINO,26,15/9/2017
2017-0115,19/9/2017,2017,9,19,CONDUCTOR,MOTO,MASCULINO,34,SD
2017-0116,20/9/2017,2017,9,20,CONDUCTOR,MOTO,MASCULINO,22,20/9/2017
2017-0118,22/9/2017,2017,9,22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26,29/9/2017
2017-0120,2/10/2017,2017,10,2,CONDUCTOR,MOTO,MASCULINO,20,2/10/2017
2017-0123,10/10/2017,2017,10,10,PEATON,PEATON,FEMENINO,36,10/10/2017
2017-0124,12/10/2017,2017,10,12,CONDUCTOR,MOTO,MASCULINO,51,12/10/2017
2017-0125,13/10/2017,2017,10,13,CONDUCTOR,MOTO,MASCULINO,29,13/10/2017
2017-0126,14/10/2017,2017,10,14,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,39,SD
2017-0126,14/10/2017,2017,10,14,CONDUCTOR,AUTO,MASCULINO,36,14/10/2017
2017-0127,16/10/2017,2017,10,16,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,24,16/10/2017
2017-0128,17/10/2017,2017,10,17,PEATON,PEATON,FEMENINO,60,17/10/2017
2017-0129,26/10/2017,2017,10,26,CONDUCTOR,MOTO,MASCULINO,57,26/10/2017
2017-0130,27/10/2017,2017,10,27,CONDUCTOR,AUTO,MASCULINO,23,27/10/2017
2017-0132,30/10/2017,2017,10,30,CONDUCTOR,MOTO,MASCULINO,23,30/10/2017
2017-0134,6/11/2017,2017,11,6,PEATON,PEATON,FEMENINO,47,6/11/2017
2017-0135,7/11/2017,2017,11,7,CONDUCTOR,MOTO,MASCULINO,24,7/11/2017
2017-0136,16/11/2017,2017,11,16,PEATON,PEATON,MASCULINO,55,16/11/2017
2017-0137,17/11/2017,2017,11,17,PEATON,PEATON,FEMENINO,60,17/11/2017
2017-0138,19/11/2017,2017,11,19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25,19/11/2017
