N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
1.0,20,4.0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,21,15.0,20,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,8,12.0,32,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,23,1.0,80,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,9,1.0,39,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1.0,7,8.0,30,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,13,2.0,47,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,16,10.0,35,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,10,1.0,79,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,5,1.0,61,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,16,4.0,21,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,18,15.0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,2,6.0,21,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,19,8.0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,14,9.0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,13,11.0,80,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,23,12.0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,9,3.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,12,9.0,70,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.0,22,1.0,55,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,14,2.0,30,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,23,14.0,60,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1.0,16,3.0,33,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,10,9.0,95,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,22,4.0,36,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,0,9.0,37,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,12,2.0,73,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,14,4.0,84,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,7,9.0,30,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,10,3.0,73,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1.0,22,1.0,43,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,12,9.0,23,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5,11.0,22,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,13,12.0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,22,1.0,66,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,16,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,8,10.0,56,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1.0,8,14.0,36,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,19,13.0,87,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,12,7.0,61,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1.0,19,14.0,28,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,7,3.0,16,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1.0,10,13.0,61,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1.0,1,4.0,46,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,9,1.0,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,19,14.0,85,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1.0,11,13.0,41,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2.0,4,12.0,17,0,0,1,1,0,0,0,0,0,0,0,0,0,1
